id_licitacao,entidade,categoria,quantidade,preco_mercado,preco_estimado,preco_vencedor,numero_licitantes,bdi_percentual,numero_aditivos,historico_contratos,classe
LIC-2025-20015,Secretaria de Educação do Estado do Ceará,Mobiliário,20,1074.83,1019.38,1159.19,2,0.2228,0,2,Não Fraudulenta
LIC-2025-20016,Câmara Municipal de Recife,Medicamento,5,113.41,109.34,97.79,3,0.2178,0,1,Não Fraudulenta
LIC-2025-20017,Departamento Estadual de Trânsito de Minas Gerais,Equipamento de Informática,20,2174.37,2257.4,2459.25,2,0.1841,0,2,Não Fraudulenta
LIC-2025-20018,Governo do Estado de Pernambuco - Obras,Mobiliário,20,1014.2,1025.4,935.66,2,0.2397,1,1,Não Fraudulenta
LIC-2025-20019,Secretaria de Educação do Estado do Ceará,Mobiliário,10,981.34,1059.28,1063.74,4,0.1584,0,2,Não Fraudulenta
LIC-2025-20020,Departamento Estadual de Trânsito de Minas Gerais,Medicamento,5,106.54,95.99,108.1,4,0.2152,0,1,Não Fraudulenta
LIC-2025-20021,Universidade Federal da Paraíba,Mobiliário,10,988.74,1018.33,1035.49,3,0.1594,0,0,Não Fraudulenta
LIC-2025-20022,Prefeitura Municipal de São Paulo,Serviço de Engenharia,10,214056.76,209480.13,222478.09,4,0.2003,0,1,Não Fraudulenta
LIC-2025-20023,Departamento Estadual de Trânsito de Minas Gerais,Mobiliário,50,821.08,742.97,741.54,5,0.2454,1,1,Não Fraudulenta
LIC-2025-20024,Universidade Federal da Paraíba,Mobiliário,100,874.15,955.74,966.72,3,0.1885,1,1,Não Fraudulenta
LIC-2025-20025,Secretaria de Educação do Estado do Ceará,Serviço de Limpeza,20,1879.14,1952.81,1652.05,4,0.249,0,3,Não Fraudulenta
LIC-2025-20026,Governo do Estado de Pernambuco - Obras,Medicamento,50,94.38,90.48,103.16,5,0.2413,0,2,Não Fraudulenta
LIC-2025-20027,Governo do Estado da Bahia - Secretaria de Saúde,Medicamento,50,111.83,120.55,107.66,2,0.2078,0,1,Não Fraudulenta
LIC-2025-20028,Câmara Municipal de Recife,Serviço de Engenharia,10,186539.99,169023.89,383914.31,1,0.3016,1,3,Fraudulenta
LIC-2025-20029,Departamento Estadual de Trânsito de Minas Gerais,Mobiliário,5,911.29,918.7,973.1,5,0.2016,0,1,Não Fraudulenta
LIC-2025-20030,Governo do Estado da Bahia - Secretaria de Saúde,Serviço de Engenharia,10,149648.86,135442.72,164732.57,4,0.1909,0,0,Não Fraudulenta
LIC-2025-20031,Governo do Estado da Bahia - Secretaria de Saúde,Consultoria Técnica,10,15295.36,15951.82,14285.56,5,0.2238,0,1,Não Fraudulenta
LIC-2025-20032,Secretaria de Educação do Estado do Ceará,Serviço de Limpeza,10,1507.82,1585.58,2250.96,1,0.2869,1,2,Fraudulenta
LIC-2025-20033,Universidade Federal da Paraíba,Medicamento,20,98.94,92.47,95.93,4,0.2135,0,1,Não Fraudulenta
LIC-2025-20034,Prefeitura Municipal de São Paulo,Serviço de Engenharia,20,205667.27,212194.89,179171.28,4,0.1527,0,2,Não Fraudulenta
LIC-2025-20035,Prefeitura Municipal de São Paulo,Medicamento,20,98.33,99.23,94.97,5,0.2405,0,0,Não Fraudulenta
LIC-2025-20036,Secretaria de Educação do Estado do Ceará,Serviço de Limpeza,5,1291.66,1186.89,1125.5,3,0.2345,0,1,Não Fraudulenta
LIC-2025-20037,Prefeitura Municipal de João Pessoa,Serviço de Engenharia,5,194165.08,199172.32,207857.86,4,0.1782,0,3,Não Fraudulenta
LIC-2025-20038,Câmara Municipal de Recife,Serviço de Engenharia,10,199901.73,193537.0,221395.93,3,0.2251,0,0,Não Fraudulenta
LIC-2025-20039,Governo do Estado de Pernambuco - Obras,Transporte Escolar,100,4008.4,4270.11,4484.02,3,0.1511,1,0,Não Fraudulenta
LIC-2025-20040,Governo do Estado de Pernambuco - Obras,Material de Escritório,10,47.2,51.45,49.07,3,0.1793,0,4,Não Fraudulenta
LIC-2025-20041,Departamento Estadual de Trânsito de Minas Gerais,Material de Escritório,20,32.92,33.25,36.75,3,0.1617,0,2,Não Fraudulenta
LIC-2025-20042,Universidade Federal da Paraíba,Serviço de Limpeza,5,1728.62,1580.91,1835.57,2,0.1585,1,1,Não Fraudulenta
LIC-2025-20043,Secretaria de Educação do Estado do Ceará,Transporte Escolar,50,4715.6,5173.96,4540.55,2,0.2277,0,2,Não Fraudulenta
LIC-2025-20044,Câmara Municipal de Recife,Serviço de Engenharia,20,144817.46,143909.76,216509.97,1,0.3904,1,3,Fraudulenta
LIC-2025-20045,Governo do Estado da Bahia - Secretaria de Saúde,Consultoria Técnica,50,13341.58,14577.6,29029.98,1,0.4315,1,1,Fraudulenta
LIC-2025-20046,Prefeitura Municipal de João Pessoa,Equipamento de Informática,20,2969.3,2983.02,3143.67,3,0.2128,0,1,Não Fraudulenta
LIC-2025-20047,Prefeitura Municipal de João Pessoa,Material de Escritório,10,47.21,50.89,48.91,3,0.1688,0,1,Não Fraudulenta
LIC-2025-20048,Governo do Estado da Bahia - Secretaria de Saúde,Transporte Escolar,5,4759.03,5221.81,4810.57,3,0.2314,0,0,Não Fraudulenta
LIC-2025-20049,Prefeitura Municipal de João Pessoa,Transporte Escolar,100,4516.06,4922.32,4669.72,3,0.2433,1,0,Não Fraudulenta
LIC-2025-20050,Secretaria de Educação do Estado do Ceará,Consultoria Técnica,1,14258.78,15144.4,12763.39,3,0.1881,1,3,Não Fraudulenta
LIC-2025-20051,Departamento Estadual de Trânsito de Minas Gerais,Equipamento de Informática,10,2056.38,2206.38,2364.66,5,0.2055,0,2,Não Fraudulenta
LIC-2025-20052,Prefeitura Municipal de João Pessoa,Serviço de Limpeza,20,1362.66,1486.4,1251.73,4,0.2118,0,0,Não Fraudulenta
LIC-2025-20053,Câmara Municipal de Recife,Mobiliário,20,907.31,956.73,1003.17,3,0.2061,1,1,Não Fraudulenta
LIC-2025-20054,Departamento Estadual de Trânsito de Minas Gerais,Transporte Escolar,1,4408.22,4514.29,4028.62,2,0.1515,0,1,Não Fraudulenta
LIC-2025-20055,Governo do Estado da Bahia - Secretaria de Saúde,Consultoria Técnica,10,17424.95,16896.12,18907.74,3,0.2122,1,1,Não Fraudulenta
LIC-2025-20056,Prefeitura Municipal de São Paulo,Serviço de Limpeza,100,1594.95,1517.83,1824.64,3,0.1829,0,0,Não Fraudulenta
LIC-2025-20057,Governo do Estado da Bahia - Secretaria de Saúde,Mobiliário,5,766.4,709.39,683.36,4,0.1682,0,2,Não Fraudulenta
LIC-2025-20058,Departamento Estadual de Trânsito de Minas Gerais,Serviço de Engenharia,5,157844.81,143350.51,147360.3,2,0.1589,0,1,Não Fraudulenta
LIC-2025-20059,Governo do Estado da Bahia - Secretaria de Saúde,Medicamento,10,100.14,103.95,204.24,2,0.2939,1,1,Fraudulenta
LIC-2025-20060,Governo do Estado da Bahia - Secretaria de Saúde,Equipamento de Informática,10,2806.2,2945.53,2561.51,3,0.1985,0,1,Não Fraudulenta
LIC-2025-20061,Câmara Municipal de Recife,Consultoria Técnica,50,12220.1,11615.05,13668.94,3,0.2032,0,1,Não Fraudulenta
LIC-2025-20062,Prefeitura Municipal de São Paulo,Mobiliário,10,816.93,796.88,1354.19,1,0.3357,0,5,Fraudulenta
LIC-2025-20063,Câmara Municipal de Recife,Serviço de Limpeza,20,1655.58,1736.85,1470.61,3,0.1863,0,1,Não Fraudulenta
LIC-2025-20064,Universidade Federal da Paraíba,Equipamento de Informática,100,2605.77,2468.82,3966.73,1,0.3073,0,1,Fraudulenta
LIC-2025-20065,Universidade Federal da Paraíba,Mobiliário,50,748.88,752.55,857.25,2,0.1898,1,2,Não Fraudulenta
LIC-2025-20066,Prefeitura Municipal de João Pessoa,Consultoria Técnica,5,16011.86,17386.88,16355.86,3,0.2269,0,1,Não Fraudulenta
LIC-2025-20067,Prefeitura Municipal de João Pessoa,Material de Escritório,20,35.88,33.12,33.6,3,0.1654,0,1,Não Fraudulenta
LIC-2025-20068,Governo do Estado da Bahia - Secretaria de Saúde,Consultoria Técnica,10,12806.49,11688.16,12123.98,4,0.1755,0,2,Não Fraudulenta
LIC-2025-20069,Governo do Estado da Bahia - Secretaria de Saúde,Serviço de Limpeza,10,1503.28,1632.42,1713.0,2,0.2231,1,0,Não Fraudulenta
LIC-2025-20070,Secretaria de Educação do Estado do Ceará,Serviço de Engenharia,5,197360.69,200300.3,176032.26,4,0.1702,0,0,Não Fraudulenta
LIC-2025-20071,Universidade Federal da Paraíba,Serviço de Limpeza,50,1705.73,1713.6,1898.75,3,0.2317,0,1,Não Fraudulenta
LIC-2025-20072,Secretaria de Educação do Estado do Ceará,Medicamento,10,109.9,109.96,123.07,3,0.2044,1,1,Não Fraudulenta
LIC-2025-20073,Governo do Estado de Pernambuco - Obras,Consultoria Técnica,100,15766.25,15245.67,32087.79,2,0.3707,1,2,Fraudulenta
LIC-2025-20074,Prefeitura Municipal de João Pessoa,Serviço de Engenharia,10,197564.13,179132.68,213119.86,5,0.1842,0,0,Não Fraudulenta
LIC-2025-20075,Universidade Federal da Paraíba,Mobiliário,50,765.9,750.17,685.46,2,0.2222,0,2,Não Fraudulenta
LIC-2025-20076,Câmara Municipal de Recife,Equipamento de Informática,10,2345.7,2196.32,2404.38,3,0.1962,1,0,Não Fraudulenta
LIC-2025-20077,Universidade Federal da Paraíba,Serviço de Engenharia,20,180423.98,184445.78,378475.23,2,0.3761,1,3,Fraudulenta
LIC-2025-20078,Prefeitura Municipal de São Paulo,Mobiliário,20,872.69,913.96,984.11,3,0.1613,1,1,Não Fraudulenta
LIC-2025-20079,Prefeitura Municipal de São Paulo,Serviço de Engenharia,100,206632.54,207411.05,200371.74,2,0.1835,0,0,Não Fraudulenta
LIC-2025-20080,Prefeitura Municipal de João Pessoa,Equipamento de Informática,10,2398.17,2416.11,2287.62,3,0.2238,0,0,Não Fraudulenta
LIC-2025-20081,Câmara Municipal de Recife,Mobiliário,20,770.71,720.83,751.96,5,0.1862,0,1,Não Fraudulenta
LIC-2025-20082,Universidade Federal da Paraíba,Serviço de Limpeza,20,1393.94,1522.48,2413.88,1,0.4495,1,1,Fraudulenta
LIC-2025-20083,Governo do Estado de Pernambuco - Obras,Serviço de Engenharia,50,159113.2,171780.34,144348.5,2,0.1972,0,0,Não Fraudulenta
LIC-2025-20084,Governo do Estado da Bahia - Secretaria de Saúde,Consultoria Técnica,50,14719.73,14791.53,14281.51,3,0.1655,0,3,Não Fraudulenta
LIC-2025-20085,Universidade Federal da Paraíba,Consultoria Técnica,20,14452.41,13080.55,15388.81,4,0.1527,0,0,Não Fraudulenta
LIC-2025-20086,Secretaria de Educação do Estado do Ceará,Serviço de Engenharia,20,145419.16,133905.12,131395.43,4,0.1738,0,0,Não Fraudulenta
LIC-2025-20087,Prefeitura Municipal de João Pessoa,Mobiliário,50,1028.05,1095.95,1079.89,2,0.1793,1,0,Não Fraudulenta
LIC-2025-20088,Secretaria de Educação do Estado do Ceará,Medicamento,5,88.32,79.96,90.52,3,0.2393,0,1,Não Fraudulenta
LIC-2025-20089,Secretaria de Educação do Estado do Ceará,Transporte Escolar,10,4144.47,3952.22,4031.84,3,0.1936,0,2,Não Fraudulenta
LIC-2025-20090,Governo do Estado de Pernambuco - Obras,Equipamento de Informática,50,2487.43,2683.71,2431.62,2,0.1769,0,1,Não Fraudulenta
LIC-2025-20091,Prefeitura Municipal de João Pessoa,Equipamento de Informática,5,2834.93,3109.58,2555.7,3,0.1518,1,0,Não Fraudulenta
LIC-2025-20092,Secretaria de Educação do Estado do Ceará,Medicamento,20,90.96,91.95,99.96,2,0.1511,0,3,Não Fraudulenta
LIC-2025-20093,Prefeitura Municipal de João Pessoa,Serviço de Engenharia,20,156626.73,169608.33,151135.64,3,0.1547,0,1,Não Fraudulenta
LIC-2025-20094,Universidade Federal da Paraíba,Serviço de Engenharia,20,161665.14,158085.73,154665.33,4,0.1797,0,2,Não Fraudulenta
LIC-2025-20095,Governo do Estado de Pernambuco - Obras,Material de Escritório,50,35.44,32.12,36.45,2,0.1996,0,1,Não Fraudulenta
LIC-2025-20096,Secretaria de Educação do Estado do Ceará,Material de Escritório,5,33.2,34.72,35.08,3,0.1746,0,2,Não Fraudulenta
LIC-2025-20097,Departamento Estadual de Trânsito de Minas Gerais,Consultoria Técnica,20,14165.84,13008.72,12622.41,5,0.1946,0,3,Não Fraudulenta
LIC-2025-20098,Universidade Federal da Paraíba,Mobiliário,20,969.22,1036.91,966.15,2,0.2488,1,0,Não Fraudulenta
LIC-2025-20099,Governo do Estado de Pernambuco - Obras,Mobiliário,50,1053.09,985.81,1184.35,2,0.2197,0,5,Não Fraudulenta
LIC-2025-20100,Prefeitura Municipal de São Paulo,Equipamento de Informática,10,2828.92,2566.97,2599.78,2,0.1577,0,1,Não Fraudulenta
LIC-2025-20101,Prefeitura Municipal de João Pessoa,Serviço de Engenharia,5,166700.9,168017.55,157636.66,4,0.2386,0,0,Não Fraudulenta
LIC-2025-20102,Governo do Estado da Bahia - Secretaria de Saúde,Transporte Escolar,1,4592.16,4152.48,4632.03,5,0.2299,1,1,Não Fraudulenta
LIC-2025-20103,Governo do Estado de Pernambuco - Obras,Consultoria Técnica,10,14879.25,15258.69,17040.09,4,0.1918,0,1,Não Fraudulenta
LIC-2025-20104,Universidade Federal da Paraíba,Transporte Escolar,5,3767.4,3607.09,3466.32,2,0.1518,1,1,Não Fraudulenta
LIC-2025-20105,Prefeitura Municipal de São Paulo,Material de Escritório,20,35.49,38.68,31.12,3,0.2379,1,1,Não Fraudulenta
LIC-2025-20106,Secretaria de Educação do Estado do Ceará,Equipamento de Informática,5,2991.17,2830.65,3125.46,4,0.2013,0,0,Não Fraudulenta
LIC-2025-20107,Secretaria de Educação do Estado do Ceará,Serviço de Limpeza,10,1399.32,1477.57,1213.7,5,0.2384,1,1,Não Fraudulenta
LIC-2025-20108,Governo do Estado de Pernambuco - Obras,Serviço de Limpeza,10,1765.27,1834.48,1932.53,2,0.1724,0,2,Não Fraudulenta
LIC-2025-20109,Secretaria de Educação do Estado do Ceará,Consultoria Técnica,50,13593.6,12586.35,15451.78,5,0.231,0,1,Não Fraudulenta
LIC-2025-20110,Governo do Estado da Bahia - Secretaria de Saúde,Serviço de Engenharia,10,170833.57,162625.15,170622.2,2,0.172,0,0,Não Fraudulenta
LIC-2025-20111,Departamento Estadual de Trânsito de Minas Gerais,Serviço de Engenharia,50,179650.55,178953.02,197149.28,3,0.2178,0,0,Não Fraudulenta
LIC-2025-20112,Prefeitura Municipal de São Paulo,Equipamento de Informática,50,2797.43,2886.08,3105.67,4,0.2337,0,3,Não Fraudulenta
LIC-2025-20113,Câmara Municipal de Recife,Equipamento de Informática,50,2871.84,2601.45,2552.09,3,0.2244,0,3,Não Fraudulenta
LIC-2025-20114,Prefeitura Municipal de São Paulo,Consultoria Técnica,10,15701.56,17212.63,14570.12,4,0.204,0,0,Não Fraudulenta
LIC-2025-20115,Governo do Estado da Bahia - Secretaria de Saúde,Equipamento de Informática,50,2541.27,2776.59,2642.38,5,0.1603,1,1,Não Fraudulenta
LIC-2025-20116,Prefeitura Municipal de João Pessoa,Material de Escritório,10,43.33,39.58,41.33,4,0.1546,1,3,Não Fraudulenta
LIC-2025-20117,Prefeitura Municipal de João Pessoa,Mobiliário,50,728.85,659.19,726.37,4,0.2183,0,0,Não Fraudulenta
LIC-2025-20118,Universidade Federal da Paraíba,Transporte Escolar,100,3881.89,3844.15,4225.22,4,0.1721,0,2,Não Fraudulenta
LIC-2025-20119,Prefeitura Municipal de João Pessoa,Serviço de Engenharia,100,154876.17,152780.22,151146.47,4,0.1898,0,3,Não Fraudulenta
LIC-2025-20120,Prefeitura Municipal de São Paulo,Mobiliário,10,731.21,753.39,811.14,3,0.2468,0,5,Não Fraudulenta
LIC-2025-20121,Secretaria de Educação do Estado do Ceará,Medicamento,5,81.3,88.14,88.53,3,0.1617,0,1,Não Fraudulenta
LIC-2025-20122,Departamento Estadual de Trânsito de Minas Gerais,Serviço de Engenharia,10,179394.81,163759.08,166962.39,4,0.181,0,0,Não Fraudulenta
LIC-2025-20123,Câmara Municipal de Recife,Serviço de Engenharia,5,172259.54,171568.39,161493.11,4,0.236,0,0,Não Fraudulenta
LIC-2025-20124,Departamento Estadual de Trânsito de Minas Gerais,Transporte Escolar,20,3367.89,3194.14,3006.68,3,0.2118,0,1,Não Fraudulenta
LIC-2025-20125,Governo do Estado da Bahia - Secretaria de Saúde,Serviço de Limpeza,10,1611.34,1478.52,1385.69,2,0.1897,0,3,Não Fraudulenta
LIC-2025-20126,Governo do Estado de Pernambuco - Obras,Medicamento,5,84.18,86.48,72.35,5,0.1552,0,4,Não Fraudulenta
LIC-2025-20127,Prefeitura Municipal de João Pessoa,Equipamento de Informática,50,2080.11,2244.36,2278.11,3,0.2144,0,1,Não Fraudulenta
LIC-2025-20128,Governo do Estado de Pernambuco - Obras,Mobiliário,5,808.96,753.88,740.82,5,0.1837,0,2,Não Fraudulenta
LIC-2025-20129,Prefeitura Municipal de João Pessoa,Serviço de Engenharia,20,195782.53,185149.77,223669.39,4,0.17,0,0,Não Fraudulenta
LIC-2025-20130,Departamento Estadual de Trânsito de Minas Gerais,Material de Escritório,1,36.12,35.85,38.58,4,0.1925,0,2,Não Fraudulenta
LIC-2025-20131,Câmara Municipal de Recife,Mobiliário,50,928.32,916.92,924.61,5,0.2401,0,0,Não Fraudulenta
LIC-2025-20132,Universidade Federal da Paraíba,Medicamento,20,116.49,109.75,121.09,4,0.1632,0,1,Não Fraudulenta
LIC-2025-20133,Departamento Estadual de Trânsito de Minas Gerais,Material de Escritório,10,47.54,44.51,47.43,2,0.2371,0,1,Não Fraudulenta
LIC-2025-20134,Governo do Estado de Pernambuco - Obras,Serviço de Limpeza,20,1384.66,1354.5,1284.19,4,0.1825,0,0,Não Fraudulenta
LIC-2025-20135,Prefeitura Municipal de São Paulo,Serviço de Limpeza,100,1570.43,1487.53,2411.88,1,0.3373,1,2,Fraudulenta
LIC-2025-20136,Prefeitura Municipal de João Pessoa,Material de Escritório,50,34.67,32.37,68.96,2,0.3607,1,4,Fraudulenta
LIC-2025-20137,Departamento Estadual de Trânsito de Minas Gerais,Mobiliário,10,740.55,745.17,638.21,2,0.1952,1,1,Não Fraudulenta
LIC-2025-20138,Prefeitura Municipal de João Pessoa,Material de Escritório,1,34.37,37.72,29.27,5,0.2139,1,1,Não Fraudulenta
LIC-2025-20139,Departamento Estadual de Trânsito de Minas Gerais,Serviço de Limpeza,20,1706.79,1583.78,2809.96,2,0.3143,1,2,Fraudulenta
LIC-2025-20140,Universidade Federal da Paraíba,Medicamento,10,114.73,107.32,126.37,5,0.2183,0,3,Não Fraudulenta
LIC-2025-20141,Universidade Federal da Paraíba,Serviço de Limpeza,100,1721.3,1782.07,1803.35,3,0.2151,0,2,Não Fraudulenta
LIC-2025-20142,Governo do Estado de Pernambuco - Obras,Serviço de Limpeza,100,1540.42,1654.64,1571.39,4,0.2379,0,1,Não Fraudulenta
LIC-2025-20143,Prefeitura Municipal de São Paulo,Mobiliário,50,994.42,1053.65,1089.24,2,0.2044,0,1,Não Fraudulenta
LIC-2025-20144,Secretaria de Educação do Estado do Ceará,Serviço de Limpeza,10,1725.1,1686.65,1589.27,3,0.1727,0,2,Não Fraudulenta
LIC-2025-20145,Prefeitura Municipal de São Paulo,Equipamento de Informática,20,2379.79,2552.72,2364.93,2,0.1841,0,1,Não Fraudulenta
LIC-2025-20146,Câmara Municipal de Recife,Material de Escritório,20,41.73,43.94,44.46,5,0.1518,0,0,Não Fraudulenta
LIC-2025-20147,Departamento Estadual de Trânsito de Minas Gerais,Material de Escritório,20,46.37,43.99,40.25,5,0.1852,0,1,Não Fraudulenta
LIC-2025-20148,Governo do Estado de Pernambuco - Obras,Transporte Escolar,10,3691.66,3915.39,3482.68,4,0.2216,0,1,Não Fraudulenta
LIC-2025-20149,Prefeitura Municipal de São Paulo,Mobiliário,5,965.2,903.7,1025.73,2,0.2067,0,3,Não Fraudulenta
LIC-2025-20150,Prefeitura Municipal de João Pessoa,Material de Escritório,1,42.13,45.93,46.16,5,0.1728,0,1,Não Fraudulenta
LIC-2025-20151,Prefeitura Municipal de São Paulo,Medicamento,50,116.0,112.6,125.76,3,0.2323,0,1,Não Fraudulenta
LIC-2025-20152,Governo do Estado da Bahia - Secretaria de Saúde,Transporte Escolar,20,3922.83,3990.78,4201.59,5,0.1717,0,0,Não Fraudulenta
LIC-2025-20153,Governo do Estado da Bahia - Secretaria de Saúde,Equipamento de Informática,20,2607.09,2631.44,2521.76,3,0.1997,1,0,Não Fraudulenta
LIC-2025-20154,Departamento Estadual de Trânsito de Minas Gerais,Medicamento,20,96.17,94.79,101.72,5,0.1628,0,2,Não Fraudulenta
LIC-2025-20155,Prefeitura Municipal de São Paulo,Medicamento,5,83.43,90.01,79.01,2,0.1855,0,1,Não Fraudulenta
LIC-2025-20156,Universidade Federal da Paraíba,Serviço de Engenharia,50,160827.27,162114.27,168106.83,3,0.1824,0,3,Não Fraudulenta
LIC-2025-20157,Prefeitura Municipal de João Pessoa,Medicamento,50,98.61,89.94,112.15,2,0.219,0,1,Não Fraudulenta
LIC-2025-20158,Secretaria de Educação do Estado do Ceará,Material de Escritório,20,44.1,42.76,48.01,5,0.1735,0,0,Não Fraudulenta
LIC-2025-20159,Universidade Federal da Paraíba,Material de Escritório,100,46.83,47.2,47.12,4,0.1589,0,0,Não Fraudulenta
LIC-2025-20160,Governo do Estado da Bahia - Secretaria de Saúde,Transporte Escolar,50,4451.24,4637.07,7311.17,1,0.3412,0,3,Fraudulenta
LIC-2025-20161,Prefeitura Municipal de São Paulo,Material de Escritório,10,41.61,41.74,41.57,5,0.2351,0,1,Não Fraudulenta
LIC-2025-20162,Câmara Municipal de Recife,Transporte Escolar,50,3809.0,4096.94,4158.58,4,0.1805,0,1,Não Fraudulenta
LIC-2025-20163,Universidade Federal da Paraíba,Serviço de Limpeza,20,1501.5,1644.33,1646.76,2,0.2362,1,1,Não Fraudulenta
LIC-2025-20164,Governo do Estado da Bahia - Secretaria de Saúde,Mobiliário,50,782.94,783.34,699.88,3,0.1568,0,0,Não Fraudulenta
LIC-2025-20165,Secretaria de Educação do Estado do Ceará,Equipamento de Informática,100,2549.53,2787.06,2405.6,3,0.194,0,1,Não Fraudulenta
LIC-2025-20166,Governo do Estado de Pernambuco - Obras,Serviço de Engenharia,20,190814.48,177534.74,386324.76,1,0.2899,2,0,Fraudulenta
LIC-2025-20167,Universidade Federal da Paraíba,Consultoria Técnica,20,17902.07,16968.23,26801.33,1,0.2972,1,0,Fraudulenta
LIC-2025-20168,Câmara Municipal de Recife,Serviço de Limpeza,20,1917.89,2038.32,1806.41,4,0.2027,0,0,Não Fraudulenta
LIC-2025-20169,Universidade Federal da Paraíba,Serviço de Engenharia,50,176384.49,165611.72,171840.64,4,0.2234,0,0,Não Fraudulenta
LIC-2025-20170,Prefeitura Municipal de São Paulo,Serviço de Engenharia,10,178656.78,161476.87,192607.54,2,0.2035,0,0,Não Fraudulenta
LIC-2025-20171,Secretaria de Educação do Estado do Ceará,Medicamento,10,119.03,126.21,118.6,2,0.2048,0,1,Não Fraudulenta
LIC-2025-20172,Departamento Estadual de Trânsito de Minas Gerais,Mobiliário,20,774.02,746.88,768.45,3,0.1894,0,4,Não Fraudulenta
LIC-2025-20173,Departamento Estadual de Trânsito de Minas Gerais,Medicamento,20,97.5,92.72,84.0,5,0.1961,0,3,Não Fraudulenta
LIC-2025-20174,Secretaria de Educação do Estado do Ceará,Medicamento,5,100.74,93.69,101.11,4,0.1542,0,1,Não Fraudulenta
LIC-2025-20175,Prefeitura Municipal de São Paulo,Mobiliário,5,724.36,790.49,692.47,3,0.185,0,1,Não Fraudulenta
LIC-2025-20176,Departamento Estadual de Trânsito de Minas Gerais,Material de Escritório,5,33.57,34.65,31.2,2,0.1582,1,0,Não Fraudulenta
LIC-2025-20177,Departamento Estadual de Trânsito de Minas Gerais,Equipamento de Informática,50,2624.66,2562.69,2326.54,4,0.2275,0,1,Não Fraudulenta
LIC-2025-20178,Prefeitura Municipal de João Pessoa,Transporte Escolar,100,4477.94,4292.39,4614.81,3,0.2248,0,1,Não Fraudulenta
LIC-2025-20179,Câmara Municipal de Recife,Medicamento,10,117.12,110.67,114.73,3,0.2113,1,0,Não Fraudulenta
LIC-2025-20180,Secretaria de Educação do Estado do Ceará,Mobiliário,5,791.09,852.31,740.28,4,0.2361,0,1,Não Fraudulenta
LIC-2025-20181,Secretaria de Educação do Estado do Ceará,Serviço de Engenharia,50,177158.84,189276.45,191851.37,4,0.1677,0,2,Não Fraudulenta
LIC-2025-20182,Departamento Estadual de Trânsito de Minas Gerais,Equipamento de Informática,5,2131.73,2228.08,1948.52,3,0.2341,0,2,Não Fraudulenta
LIC-2025-20183,Secretaria de Educação do Estado do Ceará,Equipamento de Informática,10,2565.02,2661.92,2669.9,4,0.166,0,0,Não Fraudulenta
LIC-2025-20184,Universidade Federal da Paraíba,Medicamento,10,109.06,119.79,187.71,2,0.3147,1,3,Fraudulenta
LIC-2025-20185,Secretaria de Educação do Estado do Ceará,Mobiliário,50,919.52,828.53,791.33,4,0.1702,1,1,Não Fraudulenta
LIC-2025-20186,Câmara Municipal de Recife,Medicamento,5,92.22,99.17,88.58,3,0.2222,1,1,Não Fraudulenta
